Jugador,Pais,Posición,Velocidad,Disparo,Pase,Defensa,Atajada,Valor
Mbappé,Francia,Delantero,5,5,3,1,-,135
Dembelé,Francia,Delantero,5,3,4,1,-,100
Olise,Francia,Delantero,4,4,4,2,-,95
Thuram,Francia,Delantero,3,4,3,2,-,80
Doué,Francia,Delantero,4,3,4,2,-,80
Saliba,Francia,Defensor,3,2,3,5,-,95
Upamecano,Francia,Defensor,4,2,3,4,-,85
Konate,Francia,Defensor,3,2,3,5,-,95
Hernandez,Francia,Defensor,5,3,3,4,-,105
Kounde,Francia,Defensor,4,2,3,4,-,85
Kante,Francia,Mediocampista,4,3,5,3,-,115
Koné,Francia,Mediocampista,3,3,4,4,-,95
Zaire-Emery,Francia,Mediocampista,3,3,4,4,-,95
Cherki,Francia,Mediocampista,3,3,4,1,-,70
Tchoameni,Francia,Mediocampista,3,3,4,5,-,105
Maignan,Francia,Portero,2,1,3,1,5,75
Samba,Francia,Portero,1,1,3,1,4,65
Yamal,España,Delantero,5,4,4,1,-,110
Ferran,España,Delantero,4,4,3,2,-,90
Williams,España,Delantero,5,3,4,2,-,95
Muñoz,España,Delantero,3,3,3,2,-,70
Oyarzabal ,España,Delantero,3,4,4,2,-,85
Gavi,España,Mediocampista,4,3,4,4,-,100
Pedri,España,Mediocampista,3,4,5,3,-,110
Olmo,España,Mediocampista,4,4,4,2,-,95
Fabian,España,Mediocampista,3,3,4,3,-,85
Rodri,España,Mediocampista,3,3,4,5,-,110
Eric,España,Defensor,3,2,3,4,-,80
Cubarsí,España,Defensor,4,2,3,5,-,100
Laporte,España,Defensor,3,2,3,5,-,95
Cucurella,España,Defensor,4,2,3,5,-,85
Llorente,España,Defensor,5,3,3,4,-,100
Joan García,España,Portero,2,1,3,1,4,65
Unai Simón,España,Portero,2,1,3,1,5,75
