Scaloni,Argentina,6 - 2,23/07/2026 03:35:51
CPU (Bot),Bot FC (CPU),8 - 3,23/07/2026 03:39:19
Prueba 2,Argentina,5 - 3,23/07/2026 03:44:55
De La Fuente,España,5 - 3,26/07/2026 23:08:56
De La Fuente,España,5 - 3,26/07/2026 23:08:56
PruebaVideo2,España,8 - 5,27/07/2026 04:17:24
PruebaVideo2,España,8 - 5,27/07/2026 04:17:24
Prueba4,Argentina,5 - 2,29/07/2026 07:21:54
DeLaFuentePrueba6,España,5 - 3,30/07/2026 12:28:49
DeLaFuentePrueba6,España,5 - 3,30/07/2026 12:28:49
Prueba7_2,Francia,5 - 3,30/07/2026 13:24:38
